Compound,Weight (g/mol),Additives,Additives,Temp ©,CMC,,Qual. Mat. Meth.,Method,Authors,Reference,Source,Evaluation,Canonical SMILES,,,
SODIUM DODECYL SULFATE,288.3,5.71 E 0 H,PROPANOL-2,25.2,4.30E-03,M,BB,AVER SP EQUIV COND,FLOC UBBE,53008,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5.06 E 0 H,PROPIONIC ACID,25.2,4.30E-03,M,BB,AVER SP EQUIV COND,FLOC UBBE,53008,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5.03 E 0 H,PROPANOL-1,25.2,3.80E-02,M,BB,AVER SP EQUIV COND,FLOC UBBE,53008,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5.71 E 0 H,PROPANOL-2,25.2,4.30E-02,M,BB,AVER SP EQUIV COND,FLOC UBBE,53008,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5.06 E 0 H,PROPIONIC ACID,25.2,4.30E-02,M,BB,AVER SP EQUIV COND,FLOC UBBE,53008,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,2.498E 1 P,ETHANOL,30,1.15E-02,M,BB,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,9.27 E 0 P,ETHANOL,30,6.33E-03,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,30,8.44E-03,W,BA,SPECFC CONDCTNCE EQUATNS,GOOD BENS,57011,L,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,30,8.23E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM OCTYL 1 SULFATE,232.2,,,30,1.30E-01,M,BA,SPECFC CONDCTNCE EQUATNS,GODD BENS,57011,T,3,CCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM OCTYL 1 SULFATE,232.2,,,30,1.32E-01,W,CB,VELOCITY OF SOUND,SHIG,65022,L,3,CCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DODECYL SULFATE,288.3,5.03 E 0 H,PROPANOL-1,33.5,4.10E-03,M,BB,AVER SP EQUIV COND,FLOC UBBE,53008,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5.71 E 0 H,PROPANOL-2,33.5,4.50E-03,M,BB,AVER SP EQUIV COND,FLOC UBBE,53008,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5.03 E 0 H,PROPANOL-1,33.5,4.10E-02,M,BB,AVER SP EQUIV COND,FLOC UBBE,53008,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5.71 E 0 H,PROPANOL-2,33.5,4.50E-02,M,BB,AVER SP EQUIV COND,FLOC UBBE,53008,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.E-2 M,AG NO3,35,5.00E-03,M,BA,SPECFC CONDCTNCE GRAPH,CORK GOOD,62006,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.5 E 1 H,DIOXANE,35,1.90E-02,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.0 E 1 H,DIOXANE,35,1.05E-02,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5. E 0 H,DIOXANE,35,8.74E-03,M,BB,EQUIV CONDCTNCE GRAPH,SHIR MATU,65020,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,2.498E 1 P,ETHANOL,35,1.31E-02,M,BB,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,9.27 E 0 P,ETHANOL,35,6.72E-03,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.E-2 M,NA NO3,35,5.70E-03,M,BA,SPECFC CONDCTNCE GRAPH,CORK GOOD,62006,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,35,8.57E-03,W,BA,SPECFC CONDCTNCE EQUATNS,GODD BENS,57011,L,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,35,8.40E-03,M,BA,SPECFC CONDCTNCE GRAPH,CORK GOOD,62006,T,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,35,8.39E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,2.498E 1 P,ETHANOL,35,1.31E-02,M,BB,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.E-2 M,NA NO3,35,5.70E-02,M,BA,SPECFC CONDCTNCE GRAPH,CORK GOOD,62006,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM OCTYL 1 SULFATE,232.2,,,35,1.34E-01,W,BA,SPECFC CONDCTNCE EQUATNS,GODD BENS,57011,L,3,CCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DODECYL SULFATE,288.3,2.498E 1 P,ETHANOL,40,1.50E-02,M,BB,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,9.27 E 0 P,ETHANOL,40,7.19E-03,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,40,8.88E-03,W,BA,SPECFC CONDCTNCE EQUATNS,GODD BENS,57011,L,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,40,8.60E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,9.27 E 0 P,ETHANOL,40,7.19E-02,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,2.498E 1 P,ETHANOL,40,1.50E-02,M,BB,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM OCTYL 1 SULFATE,232.2,,,40,1.36E-01,W,BA,SPECFC CONDCTNCE EQUATNS,GODD BENS,57011,L,3,CCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM OCTYL 1 SULFATE,232.2,,,40,1.36E-01,M,BA,SPECFC CONDCTNCE EQUATNS,GODD BENS,57011,T,3,CCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DODECYL SULFATE,288.3,5.03 E 0 H,PROPANOL-1,40.1,4.40E-03,M,BB,AVER SP EQUIV COND,FLOC UBBE,53008,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5.71 E 0 H,PROPANOL-2,40.1,5.00E-03,M,BB,AVER SP EQUIV COND,FLOC UBBE,53008,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5.03 E 0 H,PROPANOL-1,40.1,4.40E-02,M,BB,AVER SP EQUIV COND,FLOC UBBE,53008,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5.71 E 0 H,PROPANOL-2,40.1,5.00E-02,M,BB,AVER SP EQUIV COND,FLOC UBBE,53008,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,2.498E 1 P,ETHANOL,45,1.66E-02,M,BB,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,9.27 E 0 P,ETHANOL,45,7.72E-03,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,45,9.10E-03,W,BA,SPECFC CONDCTNCE EQUATNS,GODD BENS,57011,L,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,45,8.86E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,9.27 E 0 P,ETHANOL,45,7.72E-02,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,2.498E 1 P,ETHANOL,45,1.66E-02,M,BB,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM OCTYL 1 SULFATE,232.2,,,45,1.38E-01,W,BB,SPECFC CONDCTNCE GRAPH,EVAN,56006,L,3,CCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DODECYL SULFATE,288.3,2.498E 1 P,ETHANOL,50,1.83E-02,M,BB,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,9.27 E 0 P,ETHANOL,50,8.30E-03,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5.03 E 0 H,PROPANOL-1,50,5.10E-03,M,BB,AVER SP EQUIV COND,FLOC UBBE,53008,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5.71 E 0 H,PROPANOL-2,50,5.70E-03,M,BB,AVER SP EQUIV COND,FLOC UBBE,53008,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,50,9.61E-03,W,BA,SPECFC CONDCTNCE EQUATNS,GODD BENS,57011,L,D,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,50,9.18E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,9.27 E 0 P,ETHANOL,50,8.30E-02,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,2.498E 1 P,ETHANOL,50,1.83E-02,M,BB,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5.03 E 0 H,PROPANOL-1,50,5.10E-02,M,BB,AVER SP EQUIV COND,FLOC UBBE,53008,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5.71 E 0 H,PROPANOL-2,50,5.70E-02,M,BB,AVER SP EQUIV COND,FLOC UBBE,53008,G,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM OCTYL 1 SULFATE,232.2,,,50,1.43E-01,W,BA,SPECFC CONDCTNCE EQUATNS,GODD BENS,57011,L,3,CCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DODECYL SULFATE,288.3,2.0 E 1 P,ETHANOL,55,1.51E-02,M,BB,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.5 E 1 P,ETHANOL,55,1.16E-02,M,BB,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.0 E 1 P,ETHANOL,55,9.28E-03,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,9.27 E 0 P,ETHANOL,55,8.96E-03,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,9. E 0 P,ETHANOL,55,8.92E-03,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,3. E 0 P,ETHANOL,55,8.75E-03,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,6. E 0 I',ETHANOL,55,8.42E-03,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5. E 0,ETHANOL,55,8.40E-03,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,55,9.95E-03,W,BA,SPECFC CONDCTNCE EQUATNS,GODD BENS,57011,L,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,55,9.80E-03,M,BA,SPECFC CONDCTNCE GRAPH,CORK GOOD,62006,T,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,55,9.61E-03,M,BA,AVER SP EQUIV COND,FLOC,61007,L,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,55.0,9.49E-03,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,1,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,3. E 0 P,ETHANOL,55,8.75E-02,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5. E 0,ETHANOL,55,8.40E-02,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,6. E 0 I',ETHANOL,55,8.42E-02,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,9. E 0 P,ETHANOL,55,8.92E-02,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,9.27 E 0 P,ETHANOL,55,8.96E-02,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.0 E 1 P,ETHANOL,55,9.28E-02,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.5 E 1 P,ETHANOL,55,1.16E-02,M,BB,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,2.0 E 1 P,ETHANOL,55,1.51E-02,M,BB,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM OCTYL 1 SULFATE,232.2,,,55,1.46E-01,W,BA,SPECFC CONDCTNCE EQUATNS,GODD BENS,57011,L,3,CCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DODECYL SULFATE,288.3,2.498E 1 P,ETHANOL,60,2.17E-02,M,BB,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,9.27 E 0 P,ETHANOL,60,9.70E-03,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,60,1.02E-02,M,BA,AVER SP EQUIV COND,FLOC,61007,L,2,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,9.27 E 0 P,ETHANOL,60,9.70E-02,M,BA,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,2.498E 1 P,ETHANOL,60,2.17E-02,M,BB,EQUIV CONDCTNCE GRAPH,FLOC,57013,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,65,1.09E-02,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,70,1.14E-02,M,BA,SPECFC CONDCTNCE GRAPH,CORK GOOD,62006,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.25 E 1 C,4,RM,5.11E-03,M,BB,ELECTROMOTIVE FORCE,SHED JAKO,63001,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,2.5 E 1 C,4,RM,3.88E-03,M,BB,ELECTROMOTIVE FORCE,SHED JAKO,63001,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5.0 E 1 C,4,RM,2.62E-03,M,BB,ELECTROMOTIVE FORCE,SHED JAKO,63001,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,1.25 E 1 C,4,RM,5.11E-02,M,BB,ELECTROMOTIVE FORCE,SHED JAKO,63001,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,2.5 E 1 C 0004,,RM,3.88E-02,M,BB,ELECTROMOTIVE FORCE,SHED JAKO,63001,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,5.0 E 1 C 0004,,RM,2.62E-02,M,BB,ELECTROMOTIVE FORCE,SHED JAKO,63001,T,3,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,8.19E-03,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,8.12E-03,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,8.08E-03,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,8.06E-03,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,5.62E-03,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,5.62E-03,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,5.58E-03,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,5.27E-03,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,3.19E-03,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,3.18E-03,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,3.13E-03,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,3.12E-03,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,3.12E-03,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,1.49E-03,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,1.49E-03,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,1.45E-03,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,1.42E-03,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,1.38E-03,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,1.42E-02,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,5.62E-02,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,5.27E-02,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,3.19E-02,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,1.49E-02,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,3.12E-02,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,3.13E-02,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,3.18E-02,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,1.49E-02,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,5.58E-02,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,1.45E-02,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,5.62E-02,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,3.12E-02,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM DODECYL SULFATE,288.3,,,,1.38E-02,M,,,,,M,,[Na+].CCCCCCCCCCCCO[S]([O-])(=O)=O,,,
SODIUM OCTYL 1 SULFATE,232.2,,,,1.34E-01,M,BB,TURBIDITY PLT LITE SCATR,HUIS,64047,II,3,CCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM OCTYL 1 SULFATE,232.2,,,,1.21E-01,M,BB,TURBIDITY PLT LITE SCATR,HUIS,64047,M,3,CCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM OCTYL 1 SULFATE,232.2,,,,1.02E-01,M,BB,TURBIDITY PLT LITE SCATR,HUIS,64047,M,3,CCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM OCTYL 1 SULFATE,232.2,,,,6.89E-02,M,BB,TURBIDITY PLT LITE SCATR,HUIS,64047,M,3,CCCCCCCCOS(=O)(=O)[O-].[Na+],,,
,,,,,3.44E-02,M,BB,TURBIDITY PLT LITE SCATR,HUIS,64047,M,3,CCCCCCCCOS(=O)(=O)[O-].[Na+],,,
,,,,,,,,,,,,,,,,
SODIUM DECYL 1 SULFATE,260.3,,,0,3.88E-02,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,,,5,3.64E-02,M,BA,AVER SP EQUIV COND,FLOC,61007,L,3,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,,,10,3.48E-02,W,BA,SPECFC CONDCTNCE EQUATNS,GODD BENS,57011,L,D,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,,,10,3.50E-02,M,BA,AVER SP EQUIV COND,FLOC,61007,L,D,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,,,15,3.41E-02,W,BA,SPECFC CONDCTNCE EQUATNS,GODD BENS,57011,L,1,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,,,15,3.39E-02,M,BA,AVER SP EQUIV COND,FLOC,61007,L,1,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
SODIUM DECYL 1 SULFATE,260.3,,,20,3.35E-02,W,BA,SPECFC CONDCTNCE EQUATNS,GODD BENS,57011,L,1,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],,,
